加载 OCR 引擎...
总页数: 393, 已完成: 0
[113/393] 第113页 1.9s chars=162 ETA=11.7min
[114/393] 第114页 2.1s chars=218 ETA=11.6min
[115/393] 第115页 1.4s chars=139 ETA=11.5min
[116/393] 第116页 3.3s chars=820 ETA=11.5min
[117/393] 第117页 3.3s chars=865 ETA=11.5min
[118/393] 第118页 1.8s chars=196 ETA=11.5min
[119/393] 第119页 3.2s chars=1078 ETA=11.5min
[120/393] 第120页 3.1s chars=921 ETA=11.4min
[121/393] 第121页 3.5s chars=1039 ETA=11.4min
[122/393] 第122页 3.2s chars=1031 ETA=11.4min
[123/393] 第123页 3.2s chars=920 ETA=11.4min
[124/393] 第124页 3.2s chars=955 ETA=11.4min
[125/393] 第125页 3.4s chars=1095 ETA=11.4min
[126/393] 第126页 2.6s chars=649 ETA=11.4min
[127/393] 第127页 2.5s chars=623 ETA=11.3min
[128/393] 第128页 3.3s chars=824 ETA=11.3min
[129/393] 第129页 3.2s chars=811 ETA=11.3min
[130/393] 第130页 2.5s chars=540 ETA=11.3min
[131/393] 第131页 2.6s chars=583 ETA=11.2min
[132/393] 第132页 3.5s chars=1010 ETA=11.2min
[133/393] 第133页 3.3s chars=1142 ETA=11.2min
[134/393] 第134页 3.1s chars=1032 ETA=11.2min
[135/393] 第135页 2.8s chars=814 ETA=11.1min
[136/393] 第136页 0.9s chars=38 ETA=11.0min
[137/393] 第137页 1.1s chars=3 ETA=11.0min
[138/393] 第138页 3.3s chars=851 ETA=10.9min
[139/393] 第139页 2.1s chars=460 ETA=10.9min
[140/393] 第140页 2.8s chars=727 ETA=10.9min
[141/393] 第141页 1.7s chars=152 ETA=10.8min
[142/393] 第142页 3.6s chars=1198 ETA=10.8min
[143/393] 第143页 1.9s chars=230 ETA=10.7min
[144/393] 第144页 2.3s chars=266 ETA=10.7min
[145/393] 第145页 2.1s chars=326 ETA=10.6min
[146/393] 第146页 2.4s chars=525 ETA=10.6min
[147/393] 第147页 2.6s chars=689 ETA=10.6min
[148/393] 第148页 2.7s chars=698 ETA=10.5min
[149/393] 第149页 1.3s chars=90 ETA=10.4min
[150/393] 第150页 2.5s chars=331 ETA=10.4min
[151/393] 第151页 2.8s chars=755 ETA=10.4min
[152/393] 第152页 1.0s chars=72 ETA=10.3min
[153/393] 第153页 2.9s chars=588 ETA=10.3min
[154/393] 第154页 2.7s chars=677 ETA=10.2min
[155/393] 第155页 2.5s chars=637 ETA=10.2min
[156/393] 第156页 1.2s chars=105 ETA=10.1min
[157/393] 第157页 3.3s chars=850 ETA=10.1min
[158/393] 第158页 1.8s chars=99 ETA=10.0min
[159/393] 第159页 1.9s chars=154 ETA=10.0min
[160/393] 第160页 3.1s chars=799 ETA=9.9min
[161/393] 第161页 3.1s chars=1026 ETA=9.9min
[162/393] 第162页 3.0s chars=772 ETA=9.9min
[163/393] 第163页 2.4s chars=541 ETA=9.8min
[164/393] 第164页 3.1s chars=877 ETA=9.8min
[165/393] 第165页 2.2s chars=382 ETA=9.8min
[166/393] 第166页 3.0s chars=928 ETA=9.7min
[167/393] 第167页 3.3s chars=1074 ETA=9.7min
[168/393] 第168页 3.4s chars=1137 ETA=9.7min
[169/393] 第169页 2.5s chars=616 ETA=9.6min
[170/393] 第170页 3.0s chars=615 ETA=9.6min
[171/393] 第171页 2.6s chars=670 ETA=9.6min
[172/393] 第172页 1.2s chars=118 ETA=9.5min
[173/393] 第173页 1.0s chars=3 ETA=9.4min
[174/393] 第174页 3.0s chars=715 ETA=9.4min
[175/393] 第175页 2.5s chars=570 ETA=9.4min
[176/393] 第176页 2.0s chars=291 ETA=9.3min
[177/393] 第177页 2.1s chars=407 ETA=9.3min
[178/393] 第178页 2.0s chars=345 ETA=9.2min
[179/393] 第179页 2.8s chars=821 ETA=9.2min
[180/393] 第180页 2.8s chars=871 ETA=9.1min
[181/393] 第181页 2.4s chars=444 ETA=9.1min
[182/393] 第182页 2.4s chars=484 ETA=9.1min
[183/393] 第183页 1.3s chars=120 ETA=9.0min
[184/393] 第184页 1.1s chars=31 ETA=8.9min
[185/393] 第185页 1.8s chars=111 ETA=8.9min
[186/393] 第186页 1.8s chars=151 ETA=8.8min
[187/393] 第187页 1.1s chars=60 ETA=8.8min
[188/393] 第188页 3.1s chars=787 ETA=8.7min
[189/393] 第189页 3.1s chars=731 ETA=8.7min
[190/393] 第190页 3.1s chars=938 ETA=8.7min
